"","income","sex","eth","fedu","parocc"
"683",11548.8557326284,1,1,1,98
"684",4413.00703262842,1,3,9,57
"685",10300.0820659618,2,4,11,95
"686",8836.81563262842,2,1,1,109
"687",2775.71723262842,1,1,1,109
"688",1701.38473262842,2,1,1,109
"689",7324.38983262842,1,1,1,1010
"690",18212.1567326284,1,1,1,109
"691",2051.61203262842,1,1,1,1010
"692",14117.7617326284,1,1,9,55
"693",2183.05433262842,2,1,1,109
"694",9051.30873262842,1,1,1,107
"695",8819.39373262842,1,1,1,109
"696",19814.5470659618,1,1,3,910
"697",898.60167262842,1,1,1,310
"698",18506.3087326284,2,3,3,99
"699",4323.80923262842,2,1,1,109
"700",1752.36203262842,2,3,1,109
"701",2718.24313262842,1,1,1,109
"702",4853.49093262842,2,1,1,1010
"703",7891.73353262842,1,1,5,99
"704",3610.22433262842,2,1,7,58
"705",5233.62953262842,1,1,1,910
"706",8757.20723262842,1,1,1,1010
"707",3574.54483262842,1,1,4,77
"708",8750.09973262842,1,1,1,99
"709",5483.38443262842,1,4,11,108
"710",4209.88203262842,1,1,1,97
"711",14938.3837326284,2,3,9,94
"712",3440.74773262842,1,1,1,1010
"713",3342.62983262842,1,1,11,108
"714",3289.06613262842,1,3,5,109
"715",1514.06863262842,1,1,1,107
"716",2039.51823262842,2,1,1,103
"717",19219.8933992951,2,1,1,105
"718",3574.54483262842,1,1,1,107
"719",8525.04023262842,2,1,11,58
"720",5516.31213262842,1,1,1,1010
"721",20468.6657326284,1,1,1,1010
